id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
10593675,"La Spezia room.  Clean, quiet and comfortable bed",2787,John,Brooklyn,Bensonhurst,40.60951,-73.97642,Shared room,1,15,2018-09-29,0.43,6,180,79
5052495,Sunny Room in Historic Williamsburg Loft,26089087,Karron,Brooklyn,Williamsburg,40.70907,-73.96396,Private room,1,33,2019-06-26,2.75,1,19,60
29617415,Spacious Manhattan room. Well lit! Always clean.,137358866,Kazuya,Manhattan,Harlem,40.81798,-73.94157,Private room,30,2,2019-05-19,0.38,103,246,40
4824211,Bright Comfy Room in East Village,24841295,Micheline,Manhattan,East Village,40.72503,-73.97696,Private room,2,5,2017-06-08,0.14,1,0,70
6520350,The Kook House  - Rockaways BEST Summer House!!,4089529,Michael,Queens,Arverne,40.59399,-73.79693,Entire home/apt,1,67,2019-07-07,1.34,1,344,300
2824329,Spacious Studio Loft in Brooklyn,7503643,Vida,Brooklyn,Greenpoint,40.7254,-73.94136,Entire home/apt,30,3,2015-11-06,0.05,52,336,129
13763512,Classic Exposed Brick Apartment in East Village,40008334,Jennifer,Manhattan,East Village,40.7282,-73.98001,Private room,1,159,2019-06-23,4.34,1,84,75
20227210,"Sunny one-bedroom apt., close to Prospect Park",1553230,Kate,Brooklyn,Prospect Heights,40.67635,-73.97113,Entire home/apt,2,9,2019-02-19,0.39,1,0,124
12812618,Private room in Williamsburg,25233652,Mari,Brooklyn,Williamsburg,40.71279,-73.96291,Private room,2,6,2018-01-01,0.16,1,0,80
19164752,Great 1 bedroom apartment in Manhattan,71864947,Jure,Manhattan,Washington Heights,40.84393,-73.93979,Entire home/apt,5,11,2019-03-21,0.47,1,22,100
35662019,Cheap price near Timesquare,79269209,소정,Manhattan,Hell's Kitchen,40.75625,-73.99357,Private room,31,0,,,1,250,63
29893519,the Perfect LES studio,174797199,Thaw Dar,Manhattan,Lower East Side,40.72207,-73.98726,Entire home/apt,1,11,2019-01-22,1.46,1,0,99
32935986,Uniware( only for GUYS),51596474,Antony,Brooklyn,Gravesend,40.58527,-73.96871,Shared room,10,0,,,12,0,28
32445673,Sunny King-Sized Manhattan 1BR w/Views Awaits You!,28556029,Cheyenne,Manhattan,East Harlem,40.81213,-73.93752,Entire home/apt,3,16,2019-06-30,4.07,1,0,95
13098705,Big & Beautiful 1-BR w/Private Backyard,14865754,Jerrell,Manhattan,Harlem,40.81829,-73.94686,Entire home/apt,2,34,2019-06-19,0.98,1,75,175
28661542,Gorgeous Bedroom in the heart of Bushwick Him-2R-2,216235179,Nina,Brooklyn,Bushwick,40.70126,-73.92077,Private room,35,2,2019-03-29,0.3,17,365,55
22162572,1BED 1 BATH /UPPER WEST SIDE /Lincoln Center,131647128,Emily,Manhattan,Upper West Side,40.77605,-73.98833,Entire home/apt,30,4,2019-04-11,0.63,25,363,190
16735801,Twin bed-Close to Columbia U & Central Park,64471880,Jaleh,Manhattan,Harlem,40.80172,-73.95538,Private room,1,226,2019-07-03,7.75,2,32,100
21275075,Nolita/Soho Duplex Apartment with Rooftop,25265179,Veronica,Manhattan,Nolita,40.72244,-73.99461,Entire home/apt,1,9,2019-05-27,0.75,1,0,250
19891485,Cozy and Charming Private Room in Lower East Side,10677720,Deniz,Manhattan,Lower East Side,40.7177,-73.98245,Private room,5,20,2018-05-13,0.84,1,0,77
32549039,Penthouse full floor 4 bedroom apartment,13196439,Cylia,Manhattan,Financial District,40.70436,-74.00927,Entire home/apt,5,16,2019-06-22,3.78,1,298,500
13222964,Charming studio West Harlem / sleep three,74196752,Lawrence,Manhattan,Harlem,40.81162,-73.95046,Entire home/apt,1,5,2016-06-28,0.13,1,0,100
22376920,"Quiet, Cozy Room | Heart of Midtown! | Steps to UN",163626113,Alexis,Manhattan,Midtown,40.75349,-73.96545,Private room,2,107,2019-06-30,5.73,1,49,160
15462245,Authentic Bklyn location with Caribbean vibes,26495690,Maureen,Brooklyn,Crown Heights,40.67141,-73.92643,Entire home/apt,30,0,,,1,0,90
30511873,Cozy studio middle of Manhattan/ close to Time sq.,2086035,Piyawan,Manhattan,Hell's Kitchen,40.75611,-73.99386,Entire home/apt,4,2,2019-04-04,0.52,2,0,130
7034953,"Elegant 1BR, Private Bath in Brownstone",9492212,Emily And Joel,Brooklyn,Park Slope,40.6688,-73.97865,Private room,1,184,2019-02-10,3.86,4,0,139
20674176,Nice  room midtown Manhattan 6rs,133130315,Artem,Manhattan,Hell's Kitchen,40.76506,-73.98567,Private room,3,6,2019-01-03,0.41,6,225,70
25324289,Gotham City Rental 3,191263373,Gotham,Manhattan,Hell's Kitchen,40.75925,-73.99375,Entire home/apt,1,63,2019-06-08,4.83,1,357,225
8326753,Prime Location in Theatre District,34934128,Aly,Manhattan,Theater District,40.76095,-73.98668,Private room,2,3,2017-06-19,0.08,1,0,150
34504929,Luxury Boutique Private  One-bedroom Apartment,109389069,Victoria,Brooklyn,Bushwick,40.69414,-73.92477,Entire home/apt,2,7,2019-07-03,3.33,1,4,98
21390251,Clean 2BR Park Slope Apt w/ Private Outdoor Space,26765262,Derek,Brooklyn,Gowanus,40.66933,-73.99158,Entire home/apt,3,70,2019-07-01,3.38,1,99,125
21344739,Comfortable place/ close to Manhattan,87397826,Monica,Queens,Long Island City,40.75595,-73.93075,Private room,7,1,2018-03-31,0.06,2,34,130
24397657,Brooklyn Townhouse Apartment in Trendy Bushwick.,30927892,Emily,Brooklyn,Bushwick,40.68865,-73.9081,Entire home/apt,4,40,2019-06-20,2.8,1,38,145
3489095,Location Silma,3250450,Petya,Queens,Maspeth,40.74064,-73.89956,Private room,30,0,,,18,352,39
17558336,"""Borough Border Liner"" Diverse/Convenient/Private",119173203,Maya,Brooklyn,Bushwick,40.70537,-73.91587,Private room,1,17,2018-05-13,0.97,1,0,47
32814024,7 train to visit New York City at your fingertips,246851284,Jose,Queens,Flushing,40.75747,-73.80868,Entire home/apt,4,0,,,1,365,450
2451438,Quiet & private room in luxury doorman bldg,10193030,Kaori,Manhattan,Harlem,40.82349,-73.94193,Private room,3,3,2017-10-03,0.05,2,178,80
13332001,Beautiful Room in Brooklyn Apartment,75458749,Beck,Brooklyn,Flatbush,40.64107,-73.95325,Private room,4,3,2016-08-05,0.08,2,0,50
12897713,Chelsea Flat steps from Herald Sq,70638431,Michael,Manhattan,Chelsea,40.75041,-73.99489,Entire home/apt,1,2,2016-05-26,0.05,1,0,300
1036498,☆☆New Discount☆☆ 10min to Manhattan,3233986,Daniel,Queens,Astoria,40.75537,-73.91648,Private room,4,70,2019-05-23,0.93,2,173,46
4830799,bright and clean! vintage style!,3677131,Alex,Brooklyn,Red Hook,40.67627,-74.00625,Private room,1,58,2019-06-14,1.15,1,88,99
10827567,Renovated 1 bdrm apt close to city,31411094,Ronit,Brooklyn,Crown Heights,40.6725,-73.93981,Entire home/apt,3,128,2019-06-06,3.1,1,342,98
19960507,Huge Loft Space in Red Hook,1772509,Jane,Brooklyn,Red Hook,40.67798,-74.00787,Entire home/apt,1,11,2019-05-25,0.49,2,333,145
6131606,Harmony House 2 on Madison Street,21014758,Garnet,Brooklyn,Bedford-Stuyvesant,40.68875,-73.92377,Private room,2,39,2019-06-20,0.86,3,99,38
10753780,Gorgeous Duplex in the Heart of BK,2423061,Mike,Brooklyn,Clinton Hill,40.6837,-73.96505,Entire home/apt,5,1,2016-03-17,0.02,1,0,125
4536637,Kosher new studio close to subway,11010205,Jacob,Brooklyn,Bensonhurst,40.61576,-73.99166,Private room,2,4,2018-04-11,0.07,2,0,125
29340021,"Home to LGA airport near Manhattan, JFk, Astoria.",221043708,Rumalia,Queens,East Elmhurst,40.7698,-73.87183,Entire home/apt,1,29,2019-06-30,3.32,1,360,150
9664497,Room in Modern Brooklyn Apartment,32173907,Oliver,Brooklyn,Bushwick,40.70433,-73.92652,Private room,3,6,2017-04-14,0.14,1,0,55
15099669,Lower East Side large 1 bedroom,95608415,Cory,Manhattan,Lower East Side,40.71975,-73.98608,Entire home/apt,1,2,2016-10-20,0.06,1,0,225
10586622,Beautiful Apt w/ rooftop view,14944507,Jason & Carlos,Brooklyn,Park Slope,40.67225,-73.97357,Entire home/apt,5,16,2019-05-08,0.4,1,11,160
33014,NYC Zen,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,3,30,2019-06-17,0.28,1,248,195
19459965,HOUSE 2 ENTRANCES 2 KITCHEN 2 BATH 15min TO MANHTN,30237517,David,Queens,Forest Hills,40.73437,-73.8502,Entire home/apt,3,9,2018-11-18,0.39,6,0,278
19625234,"纽约三室一厅两全浴带独立厨房和停车位
Three-Room Two Bath and Parking",115979599,Mike,Queens,Flushing,40.76818,-73.8276,Entire home/apt,1,85,2019-07-07,3.52,1,151,188
17554541,Delightful Brooklyn townhouse,5817532,Christy,Brooklyn,Park Slope,40.68326,-73.97796,Entire home/apt,6,7,2019-01-03,0.36,1,42,600
23106220,1min from the station K size bed 20min toManhattan,55468128,Reina,Brooklyn,Bedford-Stuyvesant,40.68928,-73.95541,Private room,1,53,2019-06-24,3.29,7,264,70
15819933,Gorgeous Spacious Bedroom In Ridgewood Queens,16494382,Mark,Queens,Ridgewood,40.70735,-73.89343,Private room,7,0,,,1,89,20
26534838,Large Studio in the heart of West Village,5225042,Kai,Manhattan,West Village,40.73429,-74.00487,Entire home/apt,3,6,2019-03-25,0.52,1,0,150
16027312,"Upper Eastside Studio, Walk to Central Park",46627258,Travis,Manhattan,Upper East Side,40.7806,-73.95178,Entire home/apt,21,9,2018-07-26,0.28,1,0,155
33897838,NEW- Sunny and Modern Cobble Hill 1 Bedroom,255980743,Ashley,Brooklyn,Cobble Hill,40.68834,-73.9989,Entire home/apt,2,5,2019-06-19,2.31,1,43,170
8924552,Sunny 2 bedroom apartment!,6818674,Emily,Brooklyn,Greenpoint,40.73262,-73.95209,Entire home/apt,1,2,2015-11-29,0.05,1,0,100
28135901,1br apt in Ditmars/Astoria,9813962,Andi,Queens,Ditmars Steinway,40.7787,-73.9093,Entire home/apt,4,2,2018-09-09,0.19,1,26,100
16976215,Awesome Chelsea Manhattan Pad,15851669,Lisa,Manhattan,Chelsea,40.7429,-73.99344,Private room,1,1,2017-01-30,0.03,1,0,125
11486357,"Sunny Room, Hamilton Heights Section of Manhattan",27378293,Lendy,Manhattan,Harlem,40.8285,-73.94889,Private room,1,2,2018-11-30,0.23,3,332,87
16417951,Cozy modern sunny room for 2,87690038,Wesly/Jessica,Brooklyn,Crown Heights,40.67525,-73.93333,Private room,2,123,2019-06-17,4.01,4,332,52
16207381,Airy 2-Bedroom Apt with Terrace in Spanish Harlem,7913732,Sarah,Manhattan,East Harlem,40.79952,-73.93764,Entire home/apt,3,4,2018-09-03,0.17,1,7,240
29359403,Cozy Sunny Harlem Studio,130054323,Fabrice,Manhattan,Harlem,40.82361,-73.93926,Entire home/apt,1,17,2019-06-19,2.14,1,75,102
6386823,Cozy Manhattan room ★ 3 mins to subway,21361229,Vivian Yuen Ting,Manhattan,Washington Heights,40.83998,-73.94295,Private room,1,88,2019-06-30,3.66,1,0,70
23917121,"Sunny, Spacious Bed Stuy Dream Apartment",179765779,Allegra,Brooklyn,Bedford-Stuyvesant,40.6824,-73.93045,Entire home/apt,3,80,2019-07-07,5.41,1,269,125
9635607,Suite Oasis - Luxurious & Cozy Apt,49831860,Robert,Brooklyn,Canarsie,40.6424,-73.91275,Entire home/apt,2,172,2019-06-23,4.01,2,155,125
8506867,"Sunny, spacious UWS abode with view",258023,Johann,Manhattan,Upper West Side,40.77799,-73.98205,Entire home/apt,1,2,2016-03-10,0.05,1,0,220
5434197,Convenient Room Near Subway ABCD&1!,4534649,L & A,Manhattan,Harlem,40.81663,-73.95315,Private room,2,71,2016-12-15,1.34,3,0,55
747159,sunny private room in east village,3801683,Jackson,Manhattan,Gramercy,40.73158,-73.98303,Private room,4,132,2019-07-02,1.62,1,267,120
35640448,"3 bedroom beautiful, cozy apt close to Times Sq.",267989700,Nusrat,Queens,Sunnyside,40.74174,-73.90817,Entire home/apt,1,1,2019-06-22,1.0,1,321,179
26425032,Private Room in apartment (1),198478845,Jelani,Brooklyn,Clinton Hill,40.6867,-73.9612,Private room,4,6,2019-06-20,0.87,2,156,59
3580577,Park Slope beauty,18032197,Domenick,Brooklyn,Sunset Park,40.66273,-73.99111,Entire home/apt,4,25,2019-01-03,1.11,1,0,100
33618213,Clean and quiet Brooklyn room 35 mins from Soho,23991239,Ann,Brooklyn,Bedford-Stuyvesant,40.68898,-73.94139,Private room,10,1,2019-06-01,0.77,1,246,50
5956257,Private Prospect Park Bed and Bath ,30918671,Conor,Brooklyn,Prospect-Lefferts Gardens,40.66149,-73.95222,Private room,1,0,,,1,0,60
29779937,**  2 Bedrooms in Central NYC! ***,194954408,Bruce,Manhattan,Midtown,40.75175,-73.98499,Entire home/apt,28,4,2019-05-20,0.51,1,147,295
34419094,Lovely  LIC-Lush garden-Midtown1stop-Breakfast,259796664,Santi,Queens,Long Island City,40.75314,-73.93644,Private room,1,9,2019-06-23,4.5,10,357,89
24805679,A seriene space in Bushwick,187532995,Adi,Brooklyn,Bushwick,40.70447,-73.92589,Private room,4,2,2018-05-27,0.14,1,363,70
35878481,"Home Away Home,NextDoor To Subway, Accommodates 10",21261408,Jay,Brooklyn,Bedford-Stuyvesant,40.68988,-73.95936,Entire home/apt,1,1,2019-06-25,1.0,6,342,282
36222367,Garden flat in most artistic New York Bushwick,272342845,Marc,Brooklyn,Bushwick,40.70157,-73.92542,Entire home/apt,2,0,,,2,359,160
20710508,1 bedroom in East Village (private ensuite),25124335,Danny,Manhattan,East Village,40.72987,-73.98283,Private room,3,3,2017-11-19,0.14,1,0,100
5061309,Sunny room in Bushwick; Minutes from subway!,13501341,Fiorella,Brooklyn,Bushwick,40.70171,-73.91344,Private room,1,155,2019-06-20,3.39,2,170,60
17268111,Lighted Luxury Studio!,40821640,Alina,Queens,Forest Hills,40.72737,-73.85156,Entire home/apt,27,0,,,1,0,50
19175650,Private room and shared living room,134104016,Amy,Queens,Woodside,40.74505,-73.89995,Private room,2,11,2018-11-04,0.45,1,10,80
5926953,"Modern, Cozy & Bright Private Room and Bathroom",30430827,Steve,Brooklyn,Fort Greene,40.69634,-73.97296,Private room,1,152,2019-06-24,3.02,1,249,70
3802218,Cozy Private Bedroom,19533769,Chandra,Bronx,Mott Haven,40.80772,-73.91791,Private room,1,321,2019-06-12,5.46,1,44,53
4791964,Bohemian Retreat in Williamsburg,1725974,Elani,Brooklyn,Williamsburg,40.70973,-73.96056,Private room,1,0,,,1,0,100
9028527,Sunny duplex near Central Park,1584064,Adrienne,Manhattan,Harlem,40.80093,-73.95012,Entire home/apt,1,0,,,2,0,165
13431664,Private Condo Room w/ Patio,74727409,Agustina,Bronx,Longwood,40.81937,-73.90978,Private room,2,68,2019-05-30,1.83,1,156,45
16133101,Sunny Room in Bed Stuy Brooklyn,1626704,Meghan,Brooklyn,Bedford-Stuyvesant,40.69512,-73.94978,Private room,2,55,2018-12-30,1.95,1,0,75
33686419,Prime Williamsburg 2BR w/ NYC View -Long Term Only,82742663,Scott,Brooklyn,Williamsburg,40.71948,-73.96376,Entire home/apt,30,1,2019-04-29,0.42,1,160,150
31149078,Sharing room for FEMALE #2,167620568,Mikosya,Brooklyn,Brighton Beach,40.5776,-73.96231,Shared room,1,1,2019-06-23,1.0,2,364,30
1644133,Large Spacious Apt For Sublet,8726014,ELouise,Brooklyn,East Flatbush,40.63205,-73.94587,Entire home/apt,1,5,2019-05-03,0.08,1,361,90
30852793,Spacious Room with natural light in Forest Hill,206025860,Angelina,Queens,Forest Hills,40.72223,-73.84647,Private room,1,1,2019-01-01,0.16,1,249,37
35034032,Sonder | 116 John | Vibrant 1BR + Gym,219517861,Sonder (NYC),Manhattan,Financial District,40.70861,-74.00479,Entire home/apt,29,0,,,327,347,137
9185696,Excellent 1 Bedroom Apt. in Queens,47790995,Harman,Queens,Queens Village,40.71846,-73.75584,Entire home/apt,5,85,2019-05-25,1.9,1,332,75
21023888,Almost a Hotel Room // Cozy Private Room,6378149,Laurel,Brooklyn,Bushwick,40.69835,-73.91644,Private room,2,57,2019-06-23,2.68,3,18,50
5885101,one large private bedroom/ two bedroom apartment,21364540,Francisca,Brooklyn,Williamsburg,40.70217,-73.93737,Private room,4,3,2017-09-02,0.09,2,25,60
12411380,Small Bedroom Steps From the 1 Train,67123961,Carole,Manhattan,Harlem,40.82088,-73.95628,Private room,2,12,2017-08-28,0.31,2,0,50
27552471,Best Brighton Beach welcoming for your stay!,25899890,Youssef,Brooklyn,Brighton Beach,40.57762,-73.96051,Entire home/apt,2,2,2018-09-16,0.19,1,0,99
298854,"Low$pacious in Williamsburg, Bklyn",1412944,Jason,Brooklyn,Williamsburg,40.71635,-73.94609,Private room,3,0,,,1,358,75
19914250,Close to all NYC! Perfect place and cozy room,48972208,Yuri,Manhattan,Hell's Kitchen,40.75996,-73.99798,Private room,1,0,,,1,0,89
17545363,Modern Apartment Bayridge/Brooklyn- Sleeps 6,119029523,Ebada,Brooklyn,Fort Hamilton,40.62067,-74.02942,Entire home/apt,5,4,2019-06-18,1.9,3,312,150
22001233,NYC Gallery,12927770,Anton,Manhattan,Upper East Side,40.77995,-73.95621,Entire home/apt,3,0,,,1,0,150
21366948,"Best of the west! Sunny,quiet&huge! Ideal location",154714898,Gil,Manhattan,Upper West Side,40.78584,-73.97342,Entire home/apt,5,31,2019-06-30,1.54,1,166,350
14044731,One bedroom apartment for rent in West Harlem,47260217,Tess,Manhattan,Harlem,40.82287,-73.9518,Private room,7,2,2016-07-27,0.06,1,0,38
34483427,Mesmerizing Central Park View Awaits You!,260425153,Park Lane,Manhattan,Midtown,40.76471,-73.97454,Private room,1,0,,,14,361,475
6196265,Charming House in Astoria,10618197,Ambre,Queens,Ditmars Steinway,40.7802,-73.90913,Entire home/apt,7,1,2015-07-02,0.02,1,0,150
2908417,Huge Room in Brooklyn Loft,10593364,Jeffrey,Brooklyn,Bedford-Stuyvesant,40.69924,-73.94057,Private room,7,6,2017-09-10,0.1,1,0,42
24464665,Spacious private bedroom with high ceilings,28046572,Dier,Brooklyn,Bedford-Stuyvesant,40.68869,-73.93449,Private room,20,1,2018-07-16,0.08,1,0,35
27527902,Cozy 1 bedroom apartment in trendy Bushwick.,101144679,Jorge,Brooklyn,Bushwick,40.6944,-73.9242,Entire home/apt,3,26,2019-06-15,2.43,1,3,90
10576498,Cozy Room in an Eclectic Vintage Styled Apt.,1424084,Claire,Brooklyn,Bushwick,40.69349,-73.91109,Private room,1,9,2019-05-26,0.92,1,179,50
8276819,International Meeting Place_Room 3•,43371802,Sinaly,Brooklyn,Flatlands,40.62841,-73.92591,Private room,4,3,2019-05-19,0.07,5,364,130
15927523,Newly renovated ground floor apt in Williamsburg,103349564,Jennifer,Brooklyn,Williamsburg,40.71463,-73.96474,Entire home/apt,2,53,2019-07-06,1.68,1,2,250
15984905,Single room 2 (4R),102466916,Luca And Kameko,Manhattan,Harlem,40.80762,-73.94446,Private room,30,5,2018-11-18,0.16,6,151,50
14520743,SPACIOUS room TIME SQUARE,33518883,Melina,Manhattan,Hell's Kitchen,40.76106,-73.99148,Private room,1,23,2017-08-31,0.66,2,0,95
2349737,NYC Apt - Close to Metro & Mnhtn,11722972,Karen,Queens,Rego Park,40.73243,-73.86773,Entire home/apt,30,9,2017-08-03,0.14,1,342,275
20760274,"New Building w/ Rooftop & Laundry, Cozy Room",24417778,Auni (Masroor),Brooklyn,Bedford-Stuyvesant,40.67927,-73.94758,Private room,4,1,2017-09-15,0.05,1,0,88
19691986,Beautiful Comfortable Historic Brownstone,138713312,M,Manhattan,Harlem,40.80832,-73.95275,Private room,2,93,2019-06-23,3.92,1,129,115
18254314,"St. Marks, East Village penthouse loft w/ patio!",100288,Tiff & David,Manhattan,East Village,40.72842,-73.98679,Private room,4,11,2017-12-12,0.42,1,0,140
23041312,Sky Boasts Exquisite Studio,40811074,Dening,Manhattan,Hell's Kitchen,40.76208,-73.99932,Entire home/apt,3,0,,,1,0,525
19691853,Perfect 1 bedroom for short or extended stay.,106955062,Arelis,Manhattan,Harlem,40.81143,-73.94935,Entire home/apt,3,16,2019-05-13,0.66,1,0,100
1533652,Charming Central Park Studio: Summer Park Strolls!,8178950,Mari,Manhattan,Upper West Side,40.78357,-73.97268,Entire home/apt,7,76,2019-06-30,1.11,1,151,121
24541992,Quaint Studio in FiDi by Sonder,12243051,Sonder,Manhattan,Financial District,40.70558,-74.00845,Entire home/apt,29,1,2019-05-05,0.45,96,290,175
35604423,Battery Park Studio with a View,241551759,Artemis,Manhattan,Financial District,40.70417,-74.01511,Entire home/apt,9,0,,,1,15,200
16390662,room with view and bath,106291193,Mathilde,Queens,Flushing,40.7408,-73.82708,Private room,1,0,,,1,0,35
13898236,2 Floor Condo in Williamsburg with Pvt Terrace,2962330,Thobey,Brooklyn,Williamsburg,40.71684,-73.94578,Entire home/apt,1,0,,,1,0,250
18517584,Amazing 2-bdrm apartment in Greenpoint with garden,550009,Jenya,Brooklyn,Greenpoint,40.72215,-73.94203,Entire home/apt,4,0,,,1,0,137
21733510,Beautiful 1 bedroom in bedstuy,60153355,Ameyo,Brooklyn,Bedford-Stuyvesant,40.67984,-73.95044,Entire home/apt,11,8,2019-01-04,0.42,1,189,120
35533434,Upscale Deluxe Queen Hotel Room in Soho!,264478123,The Broome Hotel,Manhattan,SoHo,40.7207,-74.00034,Private room,1,0,,,4,353,100
406926,Nolita apt. with private garden,2027134,Marie-Helene,Manhattan,Nolita,40.7234,-73.99439,Entire home/apt,28,81,2019-07-03,0.93,1,122,269
16179862,Clean and Comfy Private Bedroom,95766078,Alex,Brooklyn,Bedford-Stuyvesant,40.68367,-73.95101,Private room,1,0,,,2,0,75
31498735,NEW Perfect private room near Two Bridges IV,170263842,Sultan,Manhattan,Lower East Side,40.7096,-73.98703,Private room,15,0,,,4,185,71
20137576,Room in a charming and spacious apartment in DUMBO,19990362,Sara,Brooklyn,Vinegar Hill,40.70149,-73.98091,Private room,5,5,2019-04-19,0.22,1,166,69
31918252,Private Bedroom & Living Room in Sunny Apt,53300414,Monica,Brooklyn,Gowanus,40.66938,-73.99164,Private room,1,4,2019-06-16,0.93,2,59,95
22281854,2 Queen Beds in Private bedroom Safe neighborhood,80601038,Shelley,Queens,Forest Hills,40.72761,-73.84109,Private room,1,25,2019-06-15,1.35,2,361,83
19948618,Amazing studio step away from Time Square/54B,48146336,Irina,Manhattan,Hell's Kitchen,40.76309,-73.99214,Entire home/apt,30,7,2019-06-29,0.34,20,311,130
13072490,Large apartment in charming neighborhood,19414202,Marie Clare,Brooklyn,Greenpoint,40.73046,-73.95706,Entire home/apt,3,8,2017-05-13,0.22,1,0,165
2157550,"2BD True Loft, Hip & Artsy Location",11010011,Adrien,Brooklyn,Bushwick,40.70751,-73.92058,Entire home/apt,5,9,2017-06-26,0.18,1,0,130
11544438,Clean Room in Prime Hip LES,35664937,Zachary,Manhattan,Lower East Side,40.71713,-73.98906,Private room,1,14,2016-10-01,0.35,1,0,65
